team,group,squad_number,position,player,date_of_birth,age,caps,goals,club,player_count,wiki_link,birthplace,lon,lat
Panama,G,3,DF,Harold Cummings,1992-03-01,26,51,0,San Jose Earthquakes,1,https://en.wikipedia.org/wiki/Harold_Cummings,"Panama City, Panama",-79.51986959999999,8.9823792
Panama,G,4,DF,Fidel Escobar,1995-01-09,23,22,1,New York Red Bulls,1,https://en.wikipedia.org/wiki/Fidel_Escobar,"Panama City, Panama",-79.51986959999999,8.9823792
Panama,G,5,DF,Román Torres,1986-03-20,32,110,10,Seattle Sounders FC,1,https://en.wikipedia.org/wiki/Rom%C3%A1n_Torres,"Panama City, Panama",-79.51986959999999,8.9823792
Panama,G,6,MF,Gabriel Gómez,1984-05-29,34,143,12,Atlético Bucaramanga,1,https://en.wikipedia.org/wiki/Gabriel_Enrique_G%C3%B3mez,"Panama City, Panama",-79.51986959999999,8.9823792
Panama,G,7,FW,Blas Pérez,1981-03-13,37,117,43,Municipal,1,https://en.wikipedia.org/wiki/Blas_P%C3%A9rez,"Panama City, Panama",-79.51986959999999,8.9823792
Panama,G,8,MF,Édgar Bárcenas,1993-10-23,24,28,0,Tapachula,1,https://en.wikipedia.org/wiki/%C3%89dgar_Yoel_B%C3%A1rcenas,Panama,-80.782127,8.537981
Panama,G,9,FW,Gabriel Torres,1988-10-31,29,71,14,Huachipato,1,https://en.wikipedia.org/wiki/Gabriel_Torres,"Panama City, Panama",-79.51986959999999,8.9823792
Panama,G,10,FW,Ismael Díaz,1997-05-12,21,10,2,Deportivo Fabril,1,https://en.wikipedia.org/wiki/Ismael_D%C3%ADaz_(Panamanian_footballer),"Panama City, Panama",-79.51986959999999,8.9823792
Panama,G,11,MF,Armando Cooper,1987-11-26,30,97,7,Universidad de Chile,1,https://en.wikipedia.org/wiki/Armando_Cooper,"Colón, Panama",-79.89986080000001,9.359302
Panama,G,12,GK,José Calderón,1985-08-14,32,31,0,Chorrillo,1,https://en.wikipedia.org/wiki/Jos%C3%A9_Calder%C3%B3n_(Panamanian_footballer),"Panama City, Panama",-79.51986959999999,8.9823792
Panama,G,13,DF,Adolfo Machado,1985-02-14,33,75,1,Houston Dynamo,1,https://en.wikipedia.org/wiki/Adolfo_Machado,"Panama City, Panama",-79.51986959999999,8.9823792
Panama,G,14,MF,Valentín Pimentel,1991-05-30,27,22,1,Plaza Amador,1,https://en.wikipedia.org/wiki/Valent%C3%ADn_Pimentel,"Santa Ana, Panama City, Panama",-79.542079,8.9567148
Panama,G,15,DF,Erick Davis,1991-03-31,27,37,0,Dunajská Streda,1,https://en.wikipedia.org/wiki/Erick_Davis,"Colón, Panama",-79.89986080000001,9.359302
Panama,G,16,FW,Abdiel Arroyo,1993-12-13,24,33,5,Alajuelense,1,https://en.wikipedia.org/wiki/Abdiel_Arroyo,"Colón, Panama",-79.89986080000001,9.359302
